overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
58,2,Boston Bruins,Mason Lohrei,US,D,19,1,2025,Green Bay Gamblers ,USHL,37,46,-45,34,,,,,,,4.2
59,2,Toronto Maple Leafs,Roni Hirvonen,FI,C,18,1,,Assat ,Finland,,,,,,,,,,,
60,2,New York Rangers,William Cuylle,CA,LW,18,2,2025,Windsor Spitfires ,OHL,33,66,7,108,,,,,,,6.4
61,2,Ottawa Senators,Egor Sokolov,RU,LW,20,6,2023,Cape Breton Eagles ,QMJHL,1,2,-4,4,,,,,,,0
62,2,Tampa Bay Lightning,Gage Goncalves,CA,C,19,1,2025,Everett Silvertips ,WHL,12,20,7,20,,,,,,,1.7
63,3,Detroit Red Wings,Donovan Sebrango,CA,D,18,1,2025,Kitchener Rangers ,OHL,0,0,-1,0,,,,,,,0
64,3,Toronto Maple Leafs,Topi Niemela,FI,D,18,3,,Karpat ,Finland,,,,,,,,,,,
65,3,Minnesota Wild,Daemon Hunt,CA,D,18,5,2025,Moose Jaw Warriors ,WHL,1,1,-1,0,,,,,,,0.2
66,3,Los Angeles Kings,Kasper Simontaival,FI,RW,18,1,,Tappara Jr. ,Finland Jr.,,,,,,,,,,,
67,3,Anaheim Ducks,Ian Moore,US,D,18,1,2025,St. Mark's School ,High-MA,1,1,1,0,,,,,,,0.2
68,3,Vegas Golden Knights,Lukas Cormier,CA,D,18,3,2024,Charlottetown Islanders ,QMJHL,1,1,1,0,,,,,,,0.2
69,3,Carolina Hurricanes,Alexander Nikishin,RU,D,18,10,,Spartak Moskva ,Russia,,,,,,,,,,,
70,3,Detroit Red Wings,Eemil Viro,FI,D,18,4,,TPS ,Finland,,,,,,,,,,,
71,3,Ottawa Senators,Leevi Merilainen,FI,G,18,8,2025,Karpat Jr. ,Finland Jr.,0,0,0,0,14,8,4,2,0.919,2.25,2.7
72,3,Calgary Flames,Jeremie Poirier,CA,D,18,6,,Saint John Sea Dogs ,QMJHL,,,,,,,,,,,
73,3,Nashville Predators,Luke Prokop,CA,D,18,5,,Calgary Hitmen ,WHL,,,,,,,,,,,
74,3,Florida Panthers,Ty Smilanic,US,C,18,1,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
75,3,Colorado Avalanche,Jean-Luc Foudy,CA,C,18,5,2024,Windsor Spitfires ,OHL,0,1,-2,6,,,,,,,-0.1
76,3,San Jose Sharks,Danil Gushchin,RU,LW,18,2,2025,Muskegon Lumberjacks ,USHL,3,5,-6,6,,,,,,,0.1
77,3,Pittsburgh Penguins,Calle Clang,SE,G,18,5,,Rogle BK Jr. ,Sweden Jr.,,,,,,,,,,,
78,3,Columbus Blue Jackets,Samuel Knazko,SK,D,18,8,2023,TPS Jr. ,Finland Jr.,0,0,0,0,,,,,,,0
79,3,Chicago Blackhawks,Landon Slaggert,US,LW,18,6,2025,USA U-18 Development Team ,USDP/USHL,7,10,-6,27,,,,,,,0.3
